# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
2.256394649279303266e+01,2.352493157240000130e+02,1.245271995369964912e+01,2.227965957703003710e+02,2.477020356776996550e+02
5.337613043897662379e+01,1.717203741604522804e+02,9.279945708404619964e+00,1.624404284520476551e+02,1.810003198688569057e+02
7.470466475518688299e+01,1.294201251874758043e+02,7.040516271349466670e+00,1.223796089161263438e+02,1.364606414588252790e+02
9.914468501960577385e+01,8.385538873115066849e+01,4.209217521452472965e+00,7.964617120969819553e+01,8.806460625260314146e+01
1.292816780189140502e+02,5.060981340949435037e+01,2.682201734335085686e+00,4.792761167515926246e+01,5.329201514382943827e+01
1.710951681149589376e+02,2.547255788439531443e+01,1.304254330510110860e+00,2.416830355388520246e+01,2.677681221490542640e+01
2.350046816186589638e+02,1.204123293156022179e+01,6.303273826364608201e-01,1.141090554892376119e+01,1.267156031419668238e+01
3.300110229763188840e+02,5.880290163672867720e+00,3.036993992218045557e-01,5.576590764451062832e+00,6.183989562894672609e+00
4.697956793235183000e+02,2.827821195283800826e+00,1.464700888047849037e-01,2.681351106479016089e+00,2.974291284088585563e+00
7.026156533546377432e+02,1.016848940714295990e+00,5.357516133195474456e-02,9.632737793823412664e-01,1.070424102046250825e+00
