# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
1.884998741970739999e+01,2.041500617279999874e-01,7.307403045827359778e-02,1.310760312697263896e-01,2.772240921862735852e-01
4.444529426690729679e+01,2.358006077626811636e-01,6.852815966688011184e-02,1.672724480958010518e-01,3.043287674295612755e-01
6.224582726072926420e+01,2.293817231958598934e-01,5.875790835068980117e-02,1.706238148451700853e-01,2.881396315465497016e-01
8.088011690482318272e+01,2.424177501815263369e-01,4.929879091716309059e-02,1.931189592643632325e-01,2.917165410986894414e-01
1.042302424097725577e+02,2.616501765142781322e-01,3.906532101551571379e-02,2.225848554987624184e-01,3.007154975297938737e-01
1.353322586321294523e+02,2.212487603114849377e-01,2.732820218240170074e-02,1.939205581290832370e-01,2.485769624938866385e-01
1.847379672824513932e+02,1.727243367917323802e-01,1.546161806666676228e-02,1.572627187250656144e-01,1.881859548583991459e-01
2.626849580573001504e+02,1.273752701182493119e-01,9.216068575940979807e-03,1.181592015423083286e-01,1.365913386941902952e-01
3.826244430250917503e+02,7.390310110432331270e-02,4.637229908654880162e-03,6.926587119566843254e-02,7.854033101297819286e-02
6.024018775977839368e+02,2.835202851270588256e-02,1.616202187960546176e-03,2.673582632474533552e-02,2.996823070066642961e-02
