# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
8.061679181483404477e+01,1.427247418641912802e+01,8.351189840271721065e-01,1.343735520239195580e+01,1.510759317044630023e+01
2.029176894526920591e+02,1.611820015951424168e+01,9.604551443843756253e-01,1.515774501512986561e+01,1.707865530389861775e+01
3.008070363557841347e+02,1.774986167300566109e+01,1.109951835140796650e+00,1.663990983786486311e+01,1.885981350814645907e+01
3.973829244669942682e+02,1.736971614007505949e+01,1.196191657491045168e+00,1.617352448258401409e+01,1.856590779756610488e+01
5.088440072127580152e+02,1.798883642890000090e+01,1.257192331621460157e+00,1.673164409727854007e+01,1.924602876052146172e+01
6.425482297509774980e+02,1.716766342256106270e+01,1.346369530730407327e+00,1.582129389183065626e+01,1.851403295329146914e+01
8.129354313375442871e+02,1.648037479475346245e+01,1.406730512562366364e+00,1.507364428219109698e+01,1.788710530731582793e+01
1.046273218038046934e+03,1.730636510913157977e+01,1.762198169239536982e+00,1.554416693989204212e+01,1.906856327837111564e+01
1.400129502394598603e+03,1.650380462327964537e+01,1.819657790395418751e+00,1.468414683288422751e+01,1.832346241367506323e+01
2.325949968589515720e+03,1.519045459045574908e+01,1.761693225768812043e+00,1.342876136468693637e+01,1.695214781622456002e+01
