# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
8.061679181483404477e+01,9.030901248270000181e+00,5.728337239989191865e-01,8.458067524271081439e+00,9.603734972268918924e+00
2.029176894526920591e+02,6.352946932769248711e+00,3.688092606325707457e-01,5.984137672136678354e+00,6.721756193401819068e+00
3.008070363557841347e+02,4.851402517840789130e+00,2.669881140959592947e-01,4.584414403744830224e+00,5.118390631936748036e+00
3.973829244669942682e+02,3.801682333196128027e+00,2.059254875569571097e-01,3.595756845639170862e+00,4.007607820753085193e+00
5.088440072127580152e+02,2.760692181558765501e+00,1.360376106320015932e-01,2.624654570926764130e+00,2.896729792190766872e+00
6.425482297509774980e+02,1.979275217075575410e+00,9.623736058814430505e-02,1.883037856487431050e+00,2.075512577663719771e+00
8.129354313375442871e+02,1.204925380562209103e+00,5.653096436215408055e-02,1.148394416200055002e+00,1.261456344924363204e+00
1.046273218038046934e+03,7.640226431072787427e-01,3.417958340574261261e-02,7.298430597015361787e-01,7.982022265130213068e-01
1.400129502394598603e+03,3.559166159122802431e-01,1.570782672002316374e-02,3.402087891922570551e-01,3.716244426323034311e-01
2.325949968589515720e+03,6.673030657255332732e-02,2.950935679525658415e-03,6.377937089302766760e-02,6.968124225207898703e-02
