# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
1.884998741970739999e+01,1.435154693351277544e+01,5.137031891478739176e+00,9.214515042034037151e+00,1.948857882499151373e+01
4.444529426690729679e+01,1.678625782254163568e+01,4.878407088050064289e+00,1.190785073449157139e+01,2.166466491059169996e+01
6.224582726072926420e+01,1.773219281932476932e+01,4.542238788748575118e+00,1.318995403057619420e+01,2.227443160807334266e+01
8.088011690482318272e+01,1.949870071380000169e+01,3.965313467886175225e+00,1.553338724591382558e+01,2.346401418168617781e+01
1.042302424097725577e+02,1.866167854422393191e+01,2.786256339423051731e+00,1.587542220480088062e+01,2.144793488364698320e+01
1.353322586321294523e+02,1.771039149136388602e+01,2.187551960611819446e+00,1.552283953075206568e+01,1.989794345197570635e+01
1.847379672824513932e+02,1.796004385643851720e+01,1.607714024132259167e+00,1.635232983230625692e+01,1.956775788057077747e+01
2.626849580573001504e+02,1.578850597320663596e+01,1.142356390101925356e+00,1.464614958310471060e+01,1.693086236330856309e+01
3.826244430250917503e+02,1.494781980303291746e+01,9.379373263667637461e-01,1.400988247666615294e+01,1.588575712939968199e+01
6.024018775977839368e+02,1.123582001705685052e+01,6.404958603548969176e-01,1.059532415670195427e+01,1.187631587741174677e+01
